customer_id,credit_score,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn,since_release
15830160,619,61,2,105863.0103,1,0,1,101348.88,0,0
15647311,608,41,1,83807.86,1,0,1,112542.58,0,0
15619304,502,42,8,159660.8,3,1,0,113931.57,1,1
15701354,699,39,1,0.0,2,0,0,93826.63,0,0
15737888,850,43,2,125510.82,1,1,1,79084.1,0,1
15574012,645,44,5,113755.78,2,1,0,149756.71,1,1
15592531,822,50,7,0.0,3,1,1,10062.8,0,0
15656148,376,29,4,115046.74,4,1,0,128357.128,1,1
15792365,501,44,4,142051.07,2,0,0,74940.5,0,1
15070028,684,27,2,134603.88,1,1,1,71725.73,0,1
15767821,528,31,2,102016.72,2,0,0,80181.12,0,1
15737173,497,38,3,0.0,2,0,0,76390.01,0,1
15632264,476,34,9,0.0,4,1,0,26260.98,0,1
15691483,549,25,5,0.0,2,0,0,190857.79,0,1
15600882,635,35,7,0.0,2,0,1,65951.65,0,1
15643966,616,25,3,143129.41,2,0,1,64327.26,0,1
15737452,653,30,1,132602.88,1,1,0,5097.67,0,1
15840575,549,33,9,0.0,2,0,1,14406.41,0,0
15661507,587,45,6,0.0,1,0,0,158684.81,0,0
15568982,852,24,7,0.0,2,1,0,54724.03,0,1
15577657,732,41,8,0.0,2,1,1,170886.17,0,1
15597945,636,32,8,0.0,2,1,0,195689.1583,0,1
15699309,510,38,4,0.0,3,1,0,118913.53,1,1
15725737,630,24,3,0.0,2,0,1,8487.75,0,0
15625047,846,38,5,0.0,2,0,1,187616.16,0,0
15541946,577,25,3,0.0,2,0,1,124508.29,0,0
15736816,756,36,2,136815.64,1,1,1,170041.95,0,1
15700772,571,44,9,0.0,2,0,0,38433.35,0,0
15728693,574,43,3,141349.43,1,1,1,100187.43,0,0
15656300,411,29,0,145396.4242,2,1,1,53483.21,0,1
15589475,591,39,3,0.0,3,1,0,140469.38,0,0
15706552,533,36,7,85311.7,1,0,1,156731.91,0,0
15750181,553,41,4,110112.54,2,0,0,81898.81,0,1
15659428,520,42,6,0.0,2,1,1,34410.55,0,1
15732963,722,73,9,0.0,2,1,1,142033.07,0,1
15794171,475,45,0,134264.04,1,1,0,27822.99,0,1
15788448,490,73,3,145260.23,1,0,1,114066.77,0,0
15729599,804,33,7,76548.6,1,0,1,98453.45,0,0
15717426,850,36,7,0.0,1,1,1,40812.9,0,1
15585768,582,41,6,70349.48,2,0,1,178074.04,0,1
15619360,472,40,4,0.0,3,1,0,70154.22,0,0
15738148,465,51,8,122522.32,1,0,0,181297.65,1,0
15687946,815,61,2,117419.35,1,1,1,94153.83,0,1
15755196,834,49,2,131394.56,1,0,0,181651.5152,1,0
15419449,660,61,5,155931.11,1,1,0,158338.39,0,1
15754849,776,32,1,109421.13,2,1,1,126517.46,0,1
15602280,829,75,9,112045.67,4,1,1,119708.21,1,1
15771573,637,39,9,137843.8,1,1,1,117622.8,0,1
15766205,550,38,2,114253.2571,1,0,1,90878.13,0,1
15771873,776,37,2,103769.22,2,1,0,194099.12,0,0
15616550,720,44,10,116363.37,2,1,0,198059.16,0,0
15768193,585,36,5,146050.97,2,0,0,86424.57,0,0
15683553,391,33,5,0.0,2,0,0,116978.19,0,0
15702298,655,41,8,125561.97,1,0,0,164040.94,1,1
15569590,601,33,1,3232.860824,1,0,0,40014.76,1,0
15760861,619,43,1,125211.92,4,1,1,113410.49,0,1
15427150,656,53,5,127864.4,1,1,0,87107.57,0,1
15647091,725,19,0,75888.2,1,0,0,45613.75,0,0
15623944,511,66,4,0.0,1,1,0,1643.11,1,0
15804771,538,51,5,40685.92,1,1,1,46775.28,0,1
15651280,742,35,6,136857.0,1,0,0,84509.57,0,1
15773469,687,27,9,152328.88,2,0,0,13569.65967,0,0
15702014,555,33,1,56084.69,2,0,0,178798.13,0,0
15751208,908,54,8,184807.166,1,1,1,99398.36,0,0
15592461,603,26,4,109166.37,1,1,0,46385.20758,0,0
15789484,751,36,6,169831.46,2,1,1,27758.36,0,1
15696061,581,34,1,101633.04,1,1,0,110431.51,0,0
15641582,735,43,10,123180.01,2,1,1,196673.28,0,0
15638424,364,35,5,150725.53,2,0,1,113656.85,0,1
15755648,675,21,8,98373.26,1,1,0,18203.0,0,1
15703793,738,58,2,133745.44,4,1,0,28373.86,1,0
15620344,813,29,6,0.0,1,1,0,33953.87,0,0
15550026,657,37,0,163607.18,1,0,1,44203.55,0,0
15779052,604,25,5,157780.84,2,1,1,58426.81,0,1
15770811,519,44,9,0.0,2,0,1,145562.4,0,1
15780961,735,21,1,120242.291,2,1,0,22388.0,0,0
15614049,664,55,8,0.0,2,1,1,139161.64,0,0
15662085,678,32,9,0.0,1,1,1,148210.64,0,1
15575185,757,33,5,77253.22,1,0,1,194239.63,0,1
15803136,416,41,10,122189.66,2,1,0,98301.61,0,1
15706021,665,34,1,96645.54,2,0,0,171413.66,0,0
15663706,777,32,2,0.0,1,1,0,136458.19,1,1
15641732,543,36,3,0.0,2,0,0,26019.59,0,0
15701164,506,42,4,90307.62,1,1,1,159235.29,0,1
15177418,493,46,4,0.0,2,1,0,1907.66,0,0
15805254,652,75,10,71793.28575,2,0,1,114675.75,0,0
15762418,365,22,3,121681.82,1,1,0,128643.35,1,1
15625759,729,20,9,0.0,2,1,0,151869.35,0,1
15622897,646,46,4,0.0,3,1,0,93251.42,1,1
15767954,635,28,3,81623.67,2,1,1,156791.36,0,0
15757535,647,44,5,0.0,3,1,1,174205.22,1,1
15731511,808,45,7,118626.55,2,1,0,147132.46,0,1
15809248,524,36,10,0.0,2,1,0,109614.57,0,0
15640635,769,29,8,0.0,2,1,0,172290.61,0,0
15676966,730,26,4,0.0,2,0,1,85982.47,0,1
15699461,515,35,10,176273.95,1,0,1,121277.78,0,0
15738721,773,75,7,102827.44,1,0,1,52730.89638,0,0
15693683,814,29,8,97086.4,4,0,1,197276.13,0,0
15604348,559,22,8,0.0,2,0,0,99645.04,0,1
15126783,413,34,9,0.0,2,0,0,6534.18,0,0
15808582,665,40,6,0.0,1,1,1,11162.35128,0,0
15743192,623,44,6,0.0,2,0,0,167162.43,0,1
15580146,738,31,9,82674.15,1,1,0,41970.72,0,1
15776605,528,36,7,0.0,2,1,0,60536.56,0,1
15804919,670,65,1,0.0,1,1,1,177655.68,1,0
15613854,622,46,4,107073.27,2,0,1,30984.59,1,0
15599195,582,32,1,88938.62,1,1,1,10054.53,0,0
15812878,785,36,2,99806.85,1,0,1,142471.5607,0,0
15602312,605,33,5,139587.2877,1,0,0,71862.79,0,0
15744689,479,35,9,92833.89,2,1,0,99449.86,0,1
15803526,685,30,3,90536.81,1,0,1,63082.88,0,1
15588855,538,39,7,108055.1,2,1,0,27231.26,0,1
15715951,562,42,2,100238.35,1,0,0,86797.41,0,1
15591100,731,36,9,106190.55,4,0,1,22994.32,0,1
15609618,721,26,9,154475.54,2,0,1,101300.94,1,0
